"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rees S.J.; He M.","Rees, Simon J. (7103148081); He, Miaomiao (58323632200)","7103148081; 58323632200","A three-dimensional numerical model of borehole heat exchanger heat transfer and fluid flow","2013","Geothermics","46","","","1","13","12","114","10.1016/j.geothermics.2012.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870231829&doi=10.1016%2fj.geothermics.2012.10.004&partnerID=40&md5=aa40a3c75b0246513c584d0d1caf350c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84870231829"
"Cullin J.R.; Spitler J.D.; Montagud C.; Ruiz-Calvo F.; Rees S.J.; Naicker S.S.; Konečný P.; Southard L.E.","Cullin, J.R. (36998551300); Spitler, J.D. (7004014855); Montagud, C. (36508933100); Ruiz-Calvo, F. (55512679500); Rees, S.J. (7103148081); Naicker, S.S. (56809027000); Konečný, P. (57215853073); Southard, L.E. (56809441600)","36998551300; 7004014855; 36508933100; 55512679500; 7103148081; 56809027000; 57215853073; 56809441600","Validation of vertical ground heat exchanger design methodologies","2015","Science and Technology for the Built Environment","21","2","","137","149","12","50","10.1080/10789669.2014.974478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925451630&doi=10.1080%2f10789669.2014.974478&partnerID=40&md5=0b65be59f3e801e52d57c2b3eaee3677","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84925451630"
"He M.; Rees S.; Shao L.","He, Miaomiao (58323632200); Rees, Simon (7103148081); Shao, Li (57193119145)","58323632200; 7103148081; 57193119145","Simulation of a domestic ground source heat pump system using a three-dimensional numerical borehole heat exchanger model","2011","Journal of Building Performance Simulation","4","2","","141","155","14","35","10.1080/19401493.2010.513739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957475225&doi=10.1080%2f19401493.2010.513739&partnerID=40&md5=afb751f5e73808612098ce1a6b58ba6a","Article","Final","","Scopus","2-s2.0-79957475225"
"Rees S.J.","Rees, Simon J. (7103148081)","7103148081","Closing the performance gap through better building physics","2017","Building Services Engineering Research and Technology","38","2","","125","132","7","9","10.1177/0143624417693711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013178176&doi=10.1177%2f0143624417693711&partnerID=40&md5=b8aa0c6557d82d703a380fcedc7dcd5f","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85013178176"
"Rees S.; Mardaljevic J.","Rees, Simon (7103148081); Mardaljevic, John (6603346292)","7103148081; 6603346292","Annual solar irradiation mapping and visualization for complex geometries","2015","14th International Conference of IBPSA - Building Simulation 2015, BS 2015, Conference Proceedings","","","","2538","2545","7","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976354257&partnerID=40&md5=5a9e86d077e3befd86fce99314f4467c","Conference paper","Final","","Scopus","2-s2.0-84976354257"
"Loveridge F.; Schellart A.; Rees S.; Stirling R.; Taborda D.; Tait S.; Alibardi L.; Biscontin G.; Shepley P.; Shafagh I.; Shepherd W.; Yildiz A.; Jefferson B.","Loveridge, Fleur (36101518200); Schellart, Alma (8941139100); Rees, Simon (7103148081); Stirling, Ross (55572806800); Taborda, David (25823356300); Tait, Simon (7006613315); Alibardi, Luca (36169177400); Biscontin, Giovanna (6701472707); Shepley, Paul (55919183600); Shafagh, Ida (35171558200); Shepherd, Will (7004991538); Yildiz, Anil (57202916173); Jefferson, Bruce (7003673852)","36101518200; 8941139100; 7103148081; 55572806800; 25823356300; 7006613315; 36169177400; 6701472707; 55919183600; 35171558200; 7004991538; 57202916173; 7003673852","Heat recovery and thermal energy storage potential using buried infrastructure in the UK","2022","Proceedings of the Institution of Civil Engineers: Smart Infrastructure and Construction","175","1","","10","26","16","9","10.1680/jsmic.21.00018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137154436&doi=10.1680%2fjsmic.21.00018&partnerID=40&md5=65f2e1f8765747f9be875953fea324a1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137154436"
"Rees S.J.; Lomas K.J.; Fiala D.","Rees, Simon J. (7103148081); Lomas, Kevin J. (6603702484); Fiala, Dusan (6602625238)","7103148081; 6603702484; 6602625238","Predicting local thermal discomfort adjacent to glazing","2008","ASHRAE Transactions","114 PART 1","","","431","441","10","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55849151681&partnerID=40&md5=fb3cb1e0e35dea56abd5d1a077ee8dd8","Conference paper","Final","","Scopus","2-s2.0-55849151681"
"Shafagh I.; Rees S.; Loveridge F.","Shafagh, Ida (35171558200); Rees, Simon (7103148081); Loveridge, Fleur (36101518200)","35171558200; 7103148081; 36101518200","Investigations into thermal resistance of tunnel lining heat exchangers","2020","E3S Web of Conferences","205","","06006","","","","5","10.1051/e3sconf/202020506006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097708161&doi=10.1051%2fe3sconf%2f202020506006&partnerID=40&md5=84c859d43db7728f2aa8b298afe2dcfd","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85097708161"
"Underwood C.; Rees S.","Underwood, Chris (7005827176); Rees, Simon (7103148081)","7005827176; 7103148081","Modelling HVAC and renewable energy plant and control","2019","Building Performance Simulation for Design and Operation: Expanded Second Edition","","","","586","630","44","1","10.1201/9780429402296-18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088649988&doi=10.1201%2f9780429402296-18&partnerID=40&md5=5cc4dc4b3385ffb61f71810d60163c58","Book chapter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85088649988"
"Rees S.; Curtis R.","Rees, Simon (7103148081); Curtis, Robin (56349197400)","7103148081; 56349197400","National deployment of domestic geothermal heat pump technology: Observations on the UK experience 1995-2013","2014","Energies","7","8","","5460","5499","39","20","10.3390/en7085460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906901719&doi=10.3390%2fen7085460&partnerID=40&md5=d6ff2b7e87f0963e9c9f55ce349ee715","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84906901719"
