"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Torres C.; Borman D.; Sleigh A.; Neeve D.","Torres, C. (57204040583); Borman, D. (6507564744); Sleigh, A. (57266098300); Neeve, D. (56411953500)","57204040583; 6507564744; 57266098300; 56411953500","Investigating scale effects of a hydraulic physical model with 3D CFD","2018","Smart Dams and Reservoirs - Proceedings of the 20th Biennial Conference of the British Dam Society","","","","89","101","12","5","10.1680/sdar.64119.089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064769146&doi=10.1680%2fsdar.64119.089&partnerID=40&md5=6052fd6d2e006f9d7bc6a9aacd87ccb9","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85064769146"
"Borman D.; Ingham D.B.; Johansson B.T.; Lesnic D.","Borman, D. (6507564744); Ingham, D.B. (35560744900); Johansson, B.T. (56661683900); Lesnic, D. (7007117176)","6507564744; 35560744900; 56661683900; 7007117176","The method of fundamental solutions for detection of cavities in eit","2009","Journal of Integral Equations and Applications","21","3","","383","406","23","28","10.1216/JIE-2009-21-3-383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952366615&doi=10.1216%2fJIE-2009-21-3-383&partnerID=40&md5=02c174cf470fb71873848f384b955a42","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-77952366615"
"Frank J.; Borman D.; Greiciunas E.; Khan A.; Summers J.","Frank, Julie (58706388600); Borman, Duncan (6507564744); Greiciunas, Evaldas (57193762486); Khan, Amirul (55800396100); Summers, Jon (7202483248)","58706388600; 6507564744; 57193762486; 55800396100; 7202483248","3D simulation of the Melting of PCM within a Horizontal Shell and Tube Heat Exchanger","2023","Proceedings of the World Congress on Mechanical, Chemical, and Material Engineering","","","","","","2","0","10.11159/htff23.120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188435006&doi=10.11159%2fhtff23.120&partnerID=40&md5=a1583a6b521bede8aabd9df0bdb0ca0c","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85188435006"
"Greiciunas E.; Borman D.; Summers J.","Greiciunas, E. (57193762486); Borman, D. (6507564744); Summers, J. (7202483248)","57193762486; 6507564744; 7202483248","A novel HE corrugation modelling approach utilising conjugate heat transfer methodology","2018","10th International Conference on Computational Fluid Dynamics, ICCFD 2018 - Proceedings","","","ICCFD10-290","","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089837193&partnerID=40&md5=c004c01e891b395dce5e6471818bd8fc","Conference paper","Final","","Scopus","2-s2.0-85089837193"
"Borman D.; Sleigh A.; Coughtrie A.; Horton L.","Borman, Duncan (6507564744); Sleigh, Andy (57266098300); Coughtrie, Andrew (55986735600); Horton, Lucy (56396290800)","6507564744; 57266098300; 55986735600; 56396290800","Hydraulic free-surface modelling with a novel validation approach","2014","9th South African Conference on Computational and Applied Mechanics, SACAM 2014","","","","","","","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908280764&partnerID=40&md5=d23bee502984efc442415fa7149081f3","Conference paper","Final","","Scopus","2-s2.0-84908280764"
"Bolton J.M.; Bokhove O.; Borman D.J.; Kalogirou A.; Thompson H.M.","Bolton, Jonathan M. (57355379500); Bokhove, Onno (6602532567); Borman, Duncan J. (6507564744); Kalogirou, Anna (37053962500); Thompson, Harvey M. (25928842900)","57355379500; 6602532567; 6507564744; 37053962500; 25928842900","Towards optimization of a wave-to-wire energy device in a breakwater contraction","2021","Proceedings of the European Wave and Tidal Energy Conference","","","","2191","1","-2190","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120089428&partnerID=40&md5=543a370ec7875b324ec0f6ba3a95567c","Conference paper","Final","","Scopus","2-s2.0-85120089428"
"Carr A.B.; Trigg M.A.; Tshimanga R.M.; Borman D.J.; Smith M.W.","Carr, Andrew B. (57210206389); Trigg, Mark A. (27468024100); Tshimanga, Raphael M. (37029312800); Borman, Duncan J. (6507564744); Smith, Mark W. (55698400500)","57210206389; 27468024100; 37029312800; 6507564744; 55698400500","Greater Water Surface Variability Revealed by New Congo River Field Data: Implications for Satellite Altimetry Measurements of Large Rivers","2019","Geophysical Research Letters","46","14","","8093","8101","8","24","10.1029/2019GL083720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069916388&doi=10.1029%2f2019GL083720&partnerID=40&md5=97819f9c9dee709a19899489749ed79c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85069916388"
"Mullis A.M.; Ashok Kumar A.P.; Borman D.J.","Mullis, Andrew M. (7005418040); Ashok Kumar, Aadhithya Priyadharshini (57200720411); Borman, Duncan J. (6507564744)","7005418040; 57200720411; 6507564744","CFD modelling of high pressure gas atomization of liquid metals","2018","Minerals, Metals and Materials Series","Part F3","","","77","84","7","2","10.1007/978-3-319-72059-3_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042293845&doi=10.1007%2f978-3-319-72059-3_8&partnerID=40&md5=c659c5592a30f430208c3b42776407e6","Conference paper","Final","","Scopus","2-s2.0-85042293845"
"Coughtrie A.R.; Borman D.J.; Sleigh P.A.","Coughtrie, A.R. (55986735600); Borman, D.J. (6507564744); Sleigh, P.A. (57266098300)","55986735600; 6507564744; 57266098300","Effects of turbulence modelling on prediction of flow characteristics in a bench-scale anaerobic gas-lift digester","2013","Bioresource Technology","138","","","297","306","9","64","10.1016/j.biortech.2013.03.162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877117608&doi=10.1016%2fj.biortech.2013.03.162&partnerID=40&md5=bb4885195f772946ee7eb669923b0058","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84877117608"
"Oates A.; Neuner T.; Meister M.; Borman D.; Camargo-Valero M.; Sleigh A.; Fischer P.","Oates, Andrew (57219897727); Neuner, Thomas (57219898718); Meister, Michael (56454029000); Borman, Duncan (6507564744); Camargo-Valero, Miller (16642000800); Sleigh, Andrew (57266098300); Fischer, Paul (57219899483)","57219897727; 57219898718; 56454029000; 6507564744; 16642000800; 57266098300; 57219899483","Modelling mechanically induced non-newtonian flows to improve the energy efficiency of anaerobic digesters","2020","Water (Switzerland)","12","11","2995","1","20","19","7","10.3390/w12112995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095976523&doi=10.3390%2fw12112995&partnerID=40&md5=bd4d6afcfb01ede3b22d268ef15450c7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85095976523"
