"Title","Funder","Start year"
"Sustainable Geotechnical Design: Temperature-water-plant-soil coupling for modelling soil inherent heterogeneity under climatic uncertainty due to glo","UK Research and Innovation (UKRI)","2022"
"Physics informed deep learning for groundwater prediction","UK Research and Innovation (UKRI)","2020"
