"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Chen X.; Thornton S.F.; Pao W.","Chen, Xiaohui (55571370200); Thornton, Steven F. (7101689883); Pao, William (7003342282)","55571370200; 7101689883; 7003342282","Mathematical model of coupled dual chemical osmosis based on mixture-coupling theory","2018","International Journal of Engineering Science","129","","","145","155","10","17","10.1016/j.ijengsci.2018.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046763610&doi=10.1016%2fj.ijengsci.2018.04.010&partnerID=40&md5=920926a0cbadfdaa3a2acc9feb556510","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85046763610"
"Pao W.; Chen X.; Chao L.","Pao, William (7003342282); Chen, Xiaohui (55571370200); Chao, Lin (55606416400)","7003342282; 55571370200; 55606416400","Optimization of insulation padding for directional solidification","2013","Journal of Applied Sciences","13","2","","321","325","4","1","10.3923/jas.2013.321.325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874330213&doi=10.3923%2fjas.2013.321.325&partnerID=40&md5=abd9f440f73a862a4932a9bad6a0f351","Article","Final","","Scopus","2-s2.0-84874330213"
"Chen X.; Pao W.; Li X.","Chen, Xiaohui (55571370200); Pao, William (7003342282); Li, Xikui (7501697673)","55571370200; 7003342282; 7501697673","Coupled thermo-hydro-mechanical model with consideration of thermal-osmosis based on modified mixture theory","2013","International Journal of Engineering Science","64","","","1","13","12","29","10.1016/j.ijengsci.2012.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872965759&doi=10.1016%2fj.ijengsci.2012.12.005&partnerID=40&md5=1d88796d83e0a0f18159e182b4018e66","Article","Final","","Scopus","2-s2.0-84872965759"
"Chen X.; Wang M.; Hicks M.A.; Thomas H.R.","Chen, Xiaohui (55571370200); Wang, Manhui (59284995600); Hicks, Michael A. (57200901511); Thomas, Hywel R. (7403742275)","55571370200; 59284995600; 57200901511; 7403742275","A new matrix for multiphase couplings in a membrane porous medium","2018","International Journal for Numerical and Analytical Methods in Geomechanics","42","10","","1144","1153","9","16","10.1002/nag.2783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045217944&doi=10.1002%2fnag.2783&partnerID=40&md5=8498909c99405819db889685e89f5037","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85045217944"
"Chen X.; Thornton S.F.; Small J.","Chen, Xiaohui (55571370200); Thornton, Steven F. (7101689883); Small, Joe (56209636000)","55571370200; 7101689883; 56209636000","Influence of Hyper-Alkaline pH Leachate on Mineral and Porosity Evolution in the Chemically Disturbed Zone Developed in the Near-Field Host Rock for a Nuclear Waste Repository","2015","Transport in Porous Media","107","2","","489","505","16","10","10.1007/s11242-014-0450-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925541190&doi=10.1007%2fs11242-014-0450-0&partnerID=40&md5=b34a12e696dcef133434fb4325e99d5d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84925541190"
"Ashraf A.; Chen X.; Ramamurthy R.","Ashraf, A. (57220536946); Chen, X. (55571370200); Ramamurthy, R. (57208596563)","57220536946; 55571370200; 57208596563","Modelling heavy metals contamination in groundwater of Southern Punjab, Pakistan","2021","International Journal of Environmental Science and Technology","18","8","","2221","2236","15","9","10.1007/s13762-020-02965-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092293764&doi=10.1007%2fs13762-020-02965-w&partnerID=40&md5=311e99d1a02661e0e5009564da594a90","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85092293764"
"Zhang J.; Chen X.; Khan A.; Zhang Y.-K.; Kuang X.; Liang X.; Taccari M.L.; Nuttall J.","Zhang, Jiangwei (57222095162); Chen, Xiaohui (55571370200); Khan, Amirul (55800396100); Zhang, You-kuan (7601315247); Kuang, Xingxing (36514932200); Liang, Xiuyu (52264215800); Taccari, Maria L. (57193403701); Nuttall, Jonathan (59435157300)","57222095162; 55571370200; 55800396100; 7601315247; 36514932200; 52264215800; 57193403701; 59435157300","Daily runoff forecasting by deep recursive neural network","2021","Journal of Hydrology","596","","126067","","","","93","10.1016/j.jhydrol.2021.126067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101367688&doi=10.1016%2fj.jhydrol.2021.126067&partnerID=40&md5=79cf18cf6555bfd97780342bae9dd7fa","Article","Final","","Scopus","2-s2.0-85101367688"
"Ma Y.; Chen X.-H.; Yu H.-S.","Ma, Yue (57212460608); Chen, Xiao-Hui (55571370200); Yu, Hai-Sui (7405852531)","57212460608; 55571370200; 7405852531","An extension of Biot's theory with molecular influence based on mixture coupling theory: Mathematical model","2020","International Journal of Solids and Structures","191-192","","","76","86","10","7","10.1016/j.ijsolstr.2019.11.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076729534&doi=10.1016%2fj.ijsolstr.2019.11.015&partnerID=40&md5=654661653e9b4ba8b58366dc6f221fe6","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85076729534"
"Chen J.; Chen X.; Wang M.; Thornton S.; Wang Y.; Ma Y.","Chen, Junjie (57219777348); Chen, Xiaohui (55571370200); Wang, Manhui (59121169600); Thornton, Steve (7101689883); Wang, Yueyang (57219780886); Ma, Yue (57212460608)","57219777348; 55571370200; 59121169600; 7101689883; 57219780886; 57212460608","The couplings of rock/carbonate groundwater/cement leachate","2020","Environmental Geotechnics","7","7","","467","477","10","1","10.1680/jenge.18.00008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095435629&doi=10.1680%2fjenge.18.00008&partnerID=40&md5=dbff061663967f53f1c9055b9f5c181a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85095435629"
"Feng J.; Burke I.T.; Chen X.; Stewart D.I.","Feng, Jianting (57205495811); Burke, Ian T. (8600041800); Chen, Xiaohui (55571370200); Stewart, Douglas I. (35305889000)","57205495811; 8600041800; 55571370200; 35305889000","Assessing metal contamination and speciation in sewage sludge: implications for soil application and environmental risk","2023","Reviews in Environmental Science and Biotechnology","22","4","","1037","1058","21","39","10.1007/s11157-023-09675-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174388360&doi=10.1007%2fs11157-023-09675-y&partnerID=40&md5=176315bc5a605c47bbd9630ce4d84050","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85174388360"
"Tang C.-S.; Paleologos E.K.; Vitone C.; Du Y.-J.; Li J.-S.; Jiang N.-J.; Deng Y.-F.; Chu J.; Shen Z.; Koda E.; Dominijanni A.; Fei X.; Vaverková M.D.; Osiński P.; Chen X.; Asadi A.; Takeuchi M.R.H.; Bo M.W.; Abuel-Naga H.; Leong E.-C.; Farid A.; Baser T.; O'Kelly B.C.; Jha B.; Goli V.S.N.S.; Singh D.N.","Tang, Chao-Sheng (11640513400); Paleologos, Evan K. (7003503682); Vitone, Claudia (6504555227); Du, Yan-Jun (36842175800); Li, Jiang-Shan (49361664100); Jiang, Ning-Jun (55218233400); Deng, Yong-Feng (7401531046); Chu, Jian (25026007400); Shen, Zhengtao (56701428100); Koda, Eugeniusz (58682213600); Dominijanni, Andrea (6506926656); Fei, Xunchang (26421600300); Vaverková, Magdalena Daria (50562220100); Osiński, Piotr (55929586000); Chen, Xiaohui (55571370200); Asadi, Afshin (26530788200); Takeuchi, Maria R.H. (57216489251); Bo, Myint Win (7004530636); Abuel-Naga, Hossam (9245877100); Leong, Eng-Choon (7003384845); Farid, Arvin (36779248800); Baser, Tugce (55858523500); O'Kelly, Brendan C. (57211344695); Jha, Bhagwanjee (55887850700); Goli, Venkata Siva Naga Sai (57954989200); Singh, Devendra N (55666920200)","11640513400; 7003503682; 6504555227; 36842175800; 49361664100; 55218233400; 7401531046; 25026007400; 56701428100; 58682213600; 6506926656; 26421600300; 50562220100; 55929586000; 55571370200; 26530788200; 57216489251; 7004530636; 9245877100; 7003384845; 36779248800; 55858523500; 57211344695; 55887850700; 57954989200; 55666920200","Environmental geotechnics: Challenges and opportunities in the post-Covid-19 world","2021","Environmental Geotechnics","8","3","","172","192","20","34","10.1680/jenge.20.00054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106932177&doi=10.1680%2fjenge.20.00054&partnerID=40&md5=0c245f8d95a10700dee72bf3f8ad7284","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106932177"
"Moyce E.B.A.; Rochelle C.; Morris K.; Milodowski A.E.; Chen X.; Thornton S.; Small J.S.; Shaw S.","Moyce, Elizabeth B.A. (56415106200); Rochelle, Christopher (6603588740); Morris, Katherine (7202939108); Milodowski, Antoni E. (7004112170); Chen, Xiaohui (55571370200); Thornton, Steve (7101689883); Small, Joe S. (56209636000); Shaw, Samuel (7402759136)","56415106200; 6603588740; 7202939108; 7004112170; 55571370200; 7101689883; 56209636000; 7402759136","Rock alteration in alkaline cement waters over 15 years and its relevance to the geological disposal of nuclear waste","2014","Applied Geochemistry","50","","","91","105","14","46","10.1016/j.apgeochem.2014.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908148322&doi=10.1016%2fj.apgeochem.2014.08.003&partnerID=40&md5=b43c69ebb97e48cd5095cbdcd40447f3","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84908148322"
"Chen X.; Hicks M.A.","Chen, Xiaohui (55571370200); Hicks, Michael A. (57200901511)","55571370200; 57200901511","Influence of water chemical potential on the swelling of water sensitive materials","2010","Computers and Structures","88","23-24","","1498","1505","7","12","10.1016/j.compstruc.2009.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958104858&doi=10.1016%2fj.compstruc.2009.06.006&partnerID=40&md5=6e99f2fc20f9670dc871c7e7b897febe","Conference paper","Final","","Scopus","2-s2.0-77958104858"
"Ma Y.; Chen X.-H.; Hosking L.J.; Yu H.-S.; Thomas H.R.; Norris S.","Ma, Yue (57212460608); Chen, Xiao-Hui (55571370200); Hosking, Lee J. (57202306754); Yu, Hai-Sui (7405852531); Thomas, Hywel R. (7403742275); Norris, Simon (13604927500)","57212460608; 55571370200; 57202306754; 7405852531; 7403742275; 13604927500","The influence of coupled physical swelling and chemical reactions on deformable geomaterials","2021","International Journal for Numerical and Analytical Methods in Geomechanics","45","1","","64","82","18","7","10.1002/nag.3134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089605590&doi=10.1002%2fnag.3134&partnerID=40&md5=58093eaf0feaa2a3acce3fb40808bf3d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85089605590"
