"Title","Funder","Start year"
"Transient Heat Load Management for Future Advanced Aircraft","UK Research and Innovation (UKRI)","2020"
"Project Title: Advanced Aerospace Heat Exchanger Design, Performance and Manufacturing","UK Research and Innovation (UKRI)","2018"
"Modelling Bioaerosol Dispersion due to Shower Heads","UK Research and Innovation (UKRI)","2017"
