"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Budge S.; Hutchings P.; Parker A.; Tyrrel S.; Tulu T.; Gizaw M.; Garbutt C.","Budge, Sophie (57207298008); Hutchings, Paul (56900871400); Parker, Alison (35183675500); Tyrrel, Sean (6602089185); Tulu, Tizita (57211366984); Gizaw, Mesfin (57211366508); Garbutt, Camila (57207310652)","57207298008; 56900871400; 35183675500; 6602089185; 57211366984; 57211366508; 57207310652","Do domestic animals contribute to bacterial contamination of infant transmission pathways? Formative evidence from Ethiopia","2019","Journal of Water and Health","17","5","","655","669","14","17","10.2166/wh.2019.224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073657212&doi=10.2166%2fwh.2019.224&partnerID=40&md5=33eefe3453ddd848324b92f7db938f04","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85073657212"
"Hales G.; Hasan B.S.F.; Balongo O.; Meshvania J.; Sanchez-Martinez R.; Shachinda C.; Hutchings P.; Bartram J.","Hales, Georgia (57222216922); Hasan, Bushra S. F. (58167135400); Balongo, Oscar (59347830200); Meshvania, Jay (59347830300); Sanchez-Martinez, Reychel (59346881500); Shachinda, Charles (59347286400); Hutchings, Paul (56900871400); Bartram, James (6603696131)","57222216922; 58167135400; 59347830200; 59347830300; 59346881500; 59347286400; 56900871400; 6603696131","‘WaSH Futurism’: exploring post-SDG6 targets using the Nominal Group Technique for more equitable global agenda setting","2023","Journal of Water Sanitation and Hygiene for Development","13","8","","529","539","10","1","10.2166/WASHDEV.2023.246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205249683&doi=10.2166%2fWASHDEV.2023.246&partnerID=40&md5=6ac7fd3b19fde41c7be53656521d2ea9","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85205249683"
"Mallory A.; Parker A.; Hutchings P.; Sakrabani R.","Mallory, Adrian (57208141990); Parker, Alison (35183675500); Hutchings, Paul (56900871400); Sakrabani, Ruben (23019758100)","57208141990; 35183675500; 56900871400; 23019758100","Why Agricultural Tools Work in Theory But Aren’t Adopted in Practice: A Grounded Theory Approach to ICT in Ghana and Kenya","2022","Air, Soil and Water Research","15","","","","","","3","10.1177/11786221221092782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128538564&doi=10.1177%2f11786221221092782&partnerID=40&md5=c14c3c4ae4ab4f100652b93a0f1af081","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85128538564"
"Hales G.; Hutchings P.; Roelich K.; Das M.; Machado A.; Bonucci D.; Salem F.","Hales, Georgia (57222216922); Hutchings, Paul (56900871400); Roelich, Katy (55763179700); Das, Mahua (57188808753); Machado, Alexandra (57215206421); Bonucci, Debora (58931870500); Salem, Farah (58931642700)","57222216922; 56900871400; 55763179700; 57188808753; 57215206421; 58931870500; 58931642700","Centring participant experience: a realist evaluation of a menstruator-friendly facility design project in a refugee settlement, Lebanon","2024","BMC Women's Health","24","1","170","","","","0","10.1186/s12905-024-02961-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187479917&doi=10.1186%2fs12905-024-02961-z&partnerID=40&md5=252ef63c43023c152f2b7a2b741e08e1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85187479917"
"Sylvester R.; Hutchings P.; Mdee A.","Sylvester, Ruth (57529461300); Hutchings, P. (56900871400); Mdee, A. (26640577600)","57529461300; 56900871400; 26640577600","Defining and acting on water poverty in England and Wales","2023","Water Policy","25","5","","492","508","16","10","10.2166/wp.2023.253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165427176&doi=10.2166%2fwp.2023.253&partnerID=40&md5=9dbe3a7bfd1d182448ba1572dd38a92b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85165427176"
"Budge S.; Barnett M.; Hutchings P.; Parker A.; Tyrrel S.; Hassard F.; Garbutt C.; Moges M.; Woldemedhin F.; Jemal M.","Budge, Sophie (57207298008); Barnett, Megan (55352960000); Hutchings, Paul (56900871400); Parker, Alison (35183675500); Tyrrel, Sean (6602089185); Hassard, Francis (56181497500); Garbutt, Camila (57207310652); Moges, Mathewos (56674440600); Woldemedhin, Fitsume (57216689851); Jemal, Mohammedyasin (57216693602)","57207298008; 55352960000; 56900871400; 35183675500; 6602089185; 56181497500; 57207310652; 56674440600; 57216689851; 57216693602","Risk factors and transmission pathways associated with infant Campylobacter spp. Prevalence and malnutrition: A formative study in rural Ethiopia","2020","PLoS ONE","15","5","e0232541","","","","23","10.1371/journal.pone.0232541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084305463&doi=10.1371%2fjournal.pone.0232541&partnerID=40&md5=190d4b3d7be1ed57b3aab20f7fd0ab36","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084305463"
"Budge S.; Ambelu A.; Bartram J.; Brown J.; Hutchings P.","Budge, Sophie (57207298008); Ambelu, Argaw (35279317000); Bartram, Jamie (6603696131); Brown, Joe (57205143695); Hutchings, Paul (56900871400)","57207298008; 35279317000; 6603696131; 57205143695; 56900871400","Environmental sanitation and the evolution of water, sanitation and hygiene","2022","Bulletin of the World Health Organization","100","4","","286","288","2","11","10.2471/BLT.21.287137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127697355&doi=10.2471%2fBLT.21.287137&partnerID=40&md5=77800314370d6e63cf61ee1e37478108","Note","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127697355"
"Hutchings P.","Hutchings, Paul (56900871400)","56900871400","Taking stock: Sanitation sector needs to take greater responsibility to mitigate greenhouse gas emissions","2021","Waterlines","40","4","","282","286","4","0","10.3362/1756-3488.2021.40-4TS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192722070&doi=10.3362%2f1756-3488.2021.40-4TS&partnerID=40&md5=59ad04a12be797c82b240e901f130e28","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85192722070"
"Hutchings P.; Franceys R.; Mekala S.; Smits S.; James A.J.","Hutchings, Paul (56900871400); Franceys, Richard (6602406987); Mekala, Snehalatha (57142324800); Smits, Stef (36477747400); James, A.J. (57212414142)","56900871400; 6602406987; 57142324800; 36477747400; 57212414142","Revisiting the history, concepts and typologies of community management for rural drinking water supply in India","2017","International Journal of Water Resources Development","33","1","","152","169","17","31","10.1080/07900627.2016.1145576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959220469&doi=10.1080%2f07900627.2016.1145576&partnerID=40&md5=08bb7812247531516f7423036ddcabd8","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84959220469"
"Budge S.; Hutchings P.; Parker A.; Tyrrel S.; Norton S.; Garbutt C.; Woldemedhin F.; Jemal M.Y.; Moges M.; Hussen S.; Beyene H.","Budge, Sophie (57207298008); Hutchings, Paul (56900871400); Parker, Alison (35183675500); Tyrrel, Sean (6602089185); Norton, Sam (15837698200); Garbutt, Camila (57207310652); Woldemedhin, Fitsume (57216689851); Jemal, Mohammed Yasin (57216693602); Moges, Mathewos (56674440600); Hussen, Siraj (57195998336); Beyene, Hunachew (57225246109)","57207298008; 56900871400; 35183675500; 6602089185; 15837698200; 57207310652; 57216689851; 57216693602; 56674440600; 57195998336; 57225246109","A randomised controlled feasibility trial of a babywash household playspace: the campi study","2021","PLoS Neglected Tropical Diseases","15","7","e0009514","","","","2","10.1371/journal.pntd.0009514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103242121&doi=10.1371%2fjournal.pntd.0009514&partnerID=40&md5=e73d9519b7afe94ad3f497bfe91b8164","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85103242121"
"Hutchings P.; Cooper S.; Butterworth J.; Joseph S.; Kebede A.; Parker A.; Terefe B.; Van Koppen B.","Hutchings, Paul (56900871400); Cooper, Sarah (54786293400); Butterworth, John (7101864192); Joseph, Solome (55980118400); Kebede, Abinet (57210555950); Parker, Alison (35183675500); Terefe, Bethel (57211519498); Van Koppen, Barbara (55667428200)","56900871400; 54786293400; 7101864192; 55980118400; 57210555950; 35183675500; 57211519498; 55667428200","Water and Emotion: Testing a New Approach for Monitoring Water Security Among Afar Pastoralists in Ethiopia","2022","Frontiers in Climate","3","","753888","","","","4","10.3389/fclim.2021.753888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123104450&doi=10.3389%2ffclim.2021.753888&partnerID=40&md5=b6b39a48bcda0a06d889e76cd896dbc4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85123104450"
"Hutchings P.; Franceys R.; Smits S.; Mekala S.","Hutchings, Paul (56900871400); Franceys, Richard (6602406987); Smits, Stef (36477747400); Mekala, Snehalatha (57142324800)","56900871400; 6602406987; 36477747400; 57142324800","Community management of rural water supply: Case studies of success from India","2017","Community Management of Rural Water Supply: Case Studies of Success from India","","","","1","238","237","14","10.4324/9781315313337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031016934&doi=10.4324%2f9781315313337&partnerID=40&md5=a421cf4afd1ce17ed0777408e80289ab","Book","Final","","Scopus","2-s2.0-85031016934"
"Lewis A.R.; Bell A.R.; Casas A.; Kupiec-Teahan B.; Sanchez J.M.; Willcock S.; Anciano F.; Barrington D.J.; Dube M.; Hutchings P.; Karani C.; Llaxacondor A.; López H.; Mdee A.L.; Ofori A.D.; Riungu J.N.; Russel K.C.; Parker A.H.","Lewis, Amy R. (57200702062); Bell, Andrew R. (18533255100); Casas, Ana (59003643800); Kupiec-Teahan, Beata (16052473100); Sanchez, José Mendoza (59187224900); Willcock, Simon (36520213600); Anciano, Fiona (56089422400); Barrington, Dani J. (25922053200); Dube, Mmeli (57212193497); Hutchings, Paul (56900871400); Karani, Caroline (57191318095); Llaxacondor, Arturo (59188251400); López, Hellen (59188251500); Mdee, Anna L. (26640577600); Ofori, Alesia D. (57215413817); Riungu, Joy N. (57201155391); Russel, Kory C. (54906874400); Parker, Alison H. (35183675500)","57200702062; 18533255100; 59003643800; 16052473100; 59187224900; 36520213600; 56089422400; 25922053200; 57212193497; 56900871400; 57191318095; 59188251400; 59188251500; 26640577600; 57215413817; 57201155391; 54906874400; 35183675500","Comparative sanitation data from high-frequency phone surveys across 3 countries","2024","Data in Brief","55","","110635","","","","0","10.1016/j.dib.2024.110635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196810263&doi=10.1016%2fj.dib.2024.110635&partnerID=40&md5=33fd498f365067310feee8911bd7ca86","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85196810263"
"Budge S.; Parker A.; Hutchings P.; Garbutt C.; Rosenbaum J.; Tulu T.; Woldemedhin F.; Jemal M.; Engineer B.; Williams L.","Budge, Sophie (57207298008); Parker, Alison (35183675500); Hutchings, Paul (56900871400); Garbutt, Camila (57207310652); Rosenbaum, Julia (55425029500); Tulu, Tizita (57211366984); Woldemedhin, Fitsume (57216689851); Jemal, Mohammedyasin (57216693602); Engineer, Bhavin (56700340100); Williams, Leon (56583241700)","57207298008; 35183675500; 56900871400; 57207310652; 55425029500; 57211366984; 57216689851; 57216693602; 56700340100; 56583241700","Multi-sectoral participatory design of a BabyWASH playspace for rural ethiopian households","2021","American Journal of Tropical Medicine and Hygiene","104","3","","884","897","13","5","10.4269/ajtmh.20-0945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103267348&doi=10.4269%2fajtmh.20-0945&partnerID=40&md5=d658350bf4e2f389de115d62c39025ae","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85103267348"
"Holm R.H.; Chunga B.A.; Mallory A.; Hutchings P.; Parker A.","Holm, Rochelle H (54381609300); Chunga, Brighton A (57221563780); Mallory, Adrian (57208141990); Hutchings, Paul (56900871400); Parker, Alison (35183675500)","54381609300; 57221563780; 57208141990; 56900871400; 35183675500","A Qualitative Study of NIMBYism for Waste in Smaller Urban Areas of a Low-Income Country, Mzuzu, Malawi","2021","Environmental Health Insights","15","","","","","","13","10.1177/1178630220984147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099455508&doi=10.1177%2f1178630220984147&partnerID=40&md5=63e182100c769d0b85e21d90201d3194","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85099455508"
"Yates T.; Bastable A.; Allen J.; Hestbæk C.; Hasan B.; Hutchings P.; Ramos M.; Ngasala T.; Lantagne D.","Yates, Travis (56604764800); Bastable, Andy (12785151600); Allen, John (58167994300); Hestbæk, Cecilie (57192256154); Hasan, Bushra (58167135400); Hutchings, Paul (56900871400); Ramos, Monica (58168205000); Ngasala, Tula (57204953847); Lantagne, Daniele (24766009500)","56604764800; 12785151600; 58167994300; 57192256154; 58167135400; 56900871400; 58168205000; 57204953847; 24766009500","Gaps in humanitarian WASH response: perspectives from people affected by crises, practitioners, global responders, and the literature","2023","Disasters","47","3","","830","846","16","2","10.1111/disa.12571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151471011&doi=10.1111%2fdisa.12571&partnerID=40&md5=af4e3768c0c566ff91c95fecc4245930","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151471011"
