"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Lyon C.; Cordell D.; Jacobs B.; Martin-Ortega J.; Marshall R.; Camargo-Valero M.A.; Sherry E.","Lyon, Christopher (55819368700); Cordell, Dana (26026606900); Jacobs, Brent (8615682100); Martin-Ortega, Julia (26648830100); Marshall, Rachel (55435809200); Camargo-Valero, Miller Alonso (16642000800); Sherry, Erin (56594698000)","55819368700; 26026606900; 8615682100; 26648830100; 55435809200; 16642000800; 56594698000","Five pillars for stakeholder analyses in sustainability transformations: The global case of phosphorus","2020","Environmental Science and Policy","107","","","80","89","9","31","10.1016/j.envsci.2020.02.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080040855&doi=10.1016%2fj.envsci.2020.02.019&partnerID=40&md5=c5986078720a4f9cfd2bf93b345c2767","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85080040855"
"Martínez-Matamoros D.; Castro-García S.; Balado M.; Matamoros-Veloza A.; Camargo-Valero M.A.; Cespedes O.; Rodríguez J.; Lemos M.L.; Jiménez C.","Martínez-Matamoros, Diana (57190128676); Castro-García, Socorro (36833251700); Balado, Miguel (23984287200); Matamoros-Veloza, Adriana (56331281700); Camargo-Valero, Miller Alonso (16642000800); Cespedes, Oscar (6602904462); Rodríguez, Jaime (7404695810); Lemos, Manuel L. (7006042869); Jiménez, Carlos (26643199900)","57190128676; 36833251700; 23984287200; 56331281700; 16642000800; 6602904462; 7404695810; 7006042869; 26643199900","Preparation of functionalized magnetic nanoparticles conjugated with feroxamine and their evaluation for pathogen detection","2019","RSC Advances","9","24","","13533","13542","9","16","10.1039/c8ra10440a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065529842&doi=10.1039%2fc8ra10440a&partnerID=40&md5=9d80c5aab52471fc3ff45722e5daaafc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065529842"
"Johnson M.; Camargo Valero M.A.; Mara D.D.","Johnson, M. (57218980635); Camargo Valero, M.A. (16642000800); Mara, D.D. (7006944301)","57218980635; 16642000800; 7006944301","Maturation ponds, rock filters and reedbeds in the UK: Statistical analysis of winter performance","2007","Water Science and Technology","55","11","","135","142","7","12","10.2166/wst.2007.364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250751868&doi=10.2166%2fwst.2007.364&partnerID=40&md5=8f5519a51c378f795c5b9e7bc5210c52","Conference paper","Final","","Scopus","2-s2.0-34250751868"
"Yulistyorini A.; Camargo-Valero M.A.","Yulistyorini, Anie (57196039893); Camargo-Valero, M.A. (16642000800)","57196039893; 16642000800","Microalgae Growth and Phosphorus Uptake of Chlamydomonas Reinhardtii 11/32C under Different Inorganic Nitrogen Sources","2020","International Journal of Integrated Engineering","12","9","","253","260","7","2","10.30880/ijie.2020.12.09.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099599667&doi=10.30880%2fijie.2020.12.09.030&partnerID=40&md5=fc4e434439f9d8ba5c70b815553cf73c","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85099599667"
"Valero M.A.C.; Mara D.","Valero, M. Alonso Camargo (16642000800); Mara, Duncan (7006944301)","16642000800; 7006944301","The influence of algal biomass on tracer experiments in maturation ponds","2009","Desalination and Water Treatment","4","1-3","","89","92","3","4","10.5004/dwt.2009.360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954181339&doi=10.5004%2fdwt.2009.360&partnerID=40&md5=d2acb9c9b77ebea73ce0303dc94af9b2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77954181339"
"Grasham O.; Dupont V.; Cockerill T.; Camargo-Valero M.A.; Twigg M.V.","Grasham, Oliver (57206658846); Dupont, Valerie (7003288503); Cockerill, Timothy (23003466700); Camargo-Valero, Miller Alonso (16642000800); Twigg, Martyn V. (16036863900)","57206658846; 7003288503; 23003466700; 16642000800; 16036863900","Hydrogen: via reforming aqueous ammonia and biomethane co-products of wastewater treatment: environmental and economic sustainability","2020","Sustainable Energy and Fuels","4","11","","5835","5850","15","13","10.1039/d0se01335h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095114425&doi=10.1039%2fd0se01335h&partnerID=40&md5=6afe991fc9af6be9821271b730e1b4a8","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85095114425"
"Manga M.; Camargo-Valero M.A.; Anthonj C.; Evans B.E.","Manga, M. (57208886381); Camargo-Valero, M.A. (16642000800); Anthonj, C. (56674612800); Evans, B.E. (57199313235)","57208886381; 16642000800; 56674612800; 57199313235","Fate of faecal pathogen indicators during faecal sludge composting with different bulking agents in tropical climate","2021","International Journal of Hygiene and Environmental Health","232","","113670","","","","37","10.1016/j.ijheh.2020.113670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097660427&doi=10.1016%2fj.ijheh.2020.113670&partnerID=40&md5=91c4b4d700487a844794400149002da8","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85097660427"
"Grasham O.; Dupont V.; Cockerill T.; Camargo‐valero M.A.","Grasham, Oliver (57206658846); Dupont, Valerie (7003288503); Cockerill, Timothy (23003466700); Camargo‐valero, Miller Alonso (16642000800)","57206658846; 7003288503; 23003466700; 16642000800","Ammonia and Biogas from Anaerobic and Sewage Digestion for Novel Heat, Power and Transport Applications—A Techno‐Economic and GHG Emissions Study for the United Kingdom","2022","Energies","15","6","2174","","","","3","10.3390/en15062174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127046139&doi=10.3390%2fen15062174&partnerID=40&md5=315c701c13f2e91d7e2537f742e084c7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127046139"
"Aragon-Briceño C.I.; Ross A.B.; Camargo-Valero M.A.","Aragon-Briceño, C.I. (57195612638); Ross, A.B. (7402567700); Camargo-Valero, M.A. (16642000800)","57195612638; 7402567700; 16642000800","Strategies for the Revalorization of Sewage Sludge in a Waste Water Treatment Plant Through the Integration of Hydrothermal Processing","2023","Waste and Biomass Valorization","14","1","","105","126","21","12","10.1007/s12649-022-01856-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133301481&doi=10.1007%2fs12649-022-01856-0&partnerID=40&md5=2bda232a1f36c8ae18b4f19b7e9b7950","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85133301481"
"Mdee A.; Ofori A.; Lopez-Gonzalez G.; Stringer L.; Martin-Ortega J.; Ahrari S.; Dougill A.; Evans B.; Holden J.; Kay P.; Kongo V.; Obani P.; Tillotson M.; Camargo-Valero M.A.","Mdee, Anna (26640577600); Ofori, Alesia (57215413817); Lopez-Gonzalez, Gabriela (16444470500); Stringer, Lindsay (14018839600); Martin-Ortega, Julia (26648830100); Ahrari, Sara (57351840200); Dougill, Andrew (6602607940); Evans, Barbara (57199313235); Holden, Joseph (23995734100); Kay, Paul (57207151596); Kongo, Victor (55879665100); Obani, Pedi (56582255300); Tillotson, Martin (6602871716); Camargo-Valero, Miller Alonso (16642000800)","26640577600; 57215413817; 16444470500; 14018839600; 26648830100; 57351840200; 6602607940; 57199313235; 23995734100; 57207151596; 55879665100; 56582255300; 6602871716; 16642000800","The top 100 global water questions: Results of a scoping exercise","2022","One Earth","5","5","","563","573","10","18","10.1016/j.oneear.2022.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134610869&doi=10.1016%2fj.oneear.2022.04.009&partnerID=40&md5=ab0ae07bf55a6103b25810b35a623cc9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134610869"
