"Title","Funder","Start year"
"Improving business continuity for health services following extreme weather events","National Institute for Health and Care Research (NIHR)","2024"
"A Decision-Making Support Tool For Water And Sanitation Projects In Low-Resource Settings","U.S. Environmental Protection Agency (EPA)","2012"
"Characterisation Of Ionised And Zero-Valent Metals As Disinfectants For Microbiologically Contaminated Water In Resource-Poor Settings","U.S. Environmental Protection Agency (EPA)","2011"
