"Title","Funder","Start year"
"ASPIRE - Accelerated Supergene Processes in Repository Engineering","UK Research and Innovation (UKRI)","2020"
"Mechanisms of uptake anof uptake and storage of [trace metals] by Miscanthus - implications for growing a commercial fuel crop on contaminated land.","UK Research and Innovation (UKRI)","2017"
"Resource recovery and remediation of alkaline wastes","UK Research and Innovation (UKRI)","2014"
