"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang X.; Zhao X.; Li R.; Mao G.; Tillotson M.R.; Liao X.; Zhang C.; Yi Y.","Zhang, Xinxin (56666217500); Zhao, Xu (55705204100); Li, Ruoshui (57216760907); Mao, Ganquan (57204332490); Tillotson, Martin R. (6602871716); Liao, Xiawei (57191619829); Zhang, Chao (55703882900); Yi, Yujun (23502643300)","56666217500; 55705204100; 57216760907; 57204332490; 6602871716; 57191619829; 55703882900; 23502643300","Evaluating the vulnerability of physical and virtual water resource networks in China's megacities","2020","Resources, Conservation and Recycling","161","","104972","","","","34","10.1016/j.resconrec.2020.104972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086161271&doi=10.1016%2fj.resconrec.2020.104972&partnerID=40&md5=f97a229fdd61c173c6eefc71d7371f47","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086161271"
"Aspinall H.C.; Tillotson M.R.","Aspinall, Helen C. (6603664696); Tillotson, Martin R. (6602871716)","6603664696; 6602871716","Rare Earth Azatrane Chemistry: Facile Cleavage of THF to Give a Y2Li3O Cluster","1996","Inorganic Chemistry","35","8","","2163","2164","1","44","10.1021/ic950674o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000885078&doi=10.1021%2fic950674o&partnerID=40&md5=612276a0adc3d136315e2f4b3ae49a04","Article","Final","","Scopus","2-s2.0-0000885078"
"Feukam Nzudie H.L.; Zhao X.; Tillotson M.R.; Zhang F.; Li Y.","Feukam Nzudie, Harold L. (57218768632); Zhao, Xu (55705204100); Tillotson, Martin R. (6602871716); Zhang, Fei (57219845891); Li, Yiping (36063743000)","57218768632; 55705204100; 6602871716; 57219845891; 36063743000","Modelling and forecasting roots & tubers losses and resulting water losses in sub-Saharan Africa considering climate variables","2020","Physics and Chemistry of the Earth","120","","102952","","","","3","10.1016/j.pce.2020.102952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095792509&doi=10.1016%2fj.pce.2020.102952&partnerID=40&md5=234e4b0793a51a2e6a99bd0dd655a9d0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85095792509"
"Nissen S.; Alexander B.D.; Dawood I.; Tillotson M.; Wells R.P.K.; Macphee D.E.; Killham K.","Nissen, Silke (24773861200); Alexander, Bruce D. (36906883800); Dawood, Ilyas (36805073000); Tillotson, Martin (6602871716); Wells, Richard P.K. (7402058692); Macphee, Donald E. (7004921865); Killham, Kenneth (7006512902)","24773861200; 36906883800; 36805073000; 6602871716; 7402058692; 7004921865; 7006512902","Remediation of a chlorinated aromatic hydrocarbon in water by photoelectrocatalysis","2009","Environmental Pollution","157","1","","72","76","4","20","10.1016/j.envpol.2008.07.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56449086661&doi=10.1016%2fj.envpol.2008.07.024&partnerID=40&md5=3f3f2c9f89f73865cb04346ff31633b5","Article","Final","","Scopus","2-s2.0-56449086661"
"Soares A.; Kampas P.; Maillard S.; Wood E.; Brigg J.; Tillotson M.; Parsons S.A.; Cartmell E.","Soares, Ana (56219311900); Kampas, Pantelis (16052446700); Maillard, Sarah (36025672800); Wood, Elizabeth (26642250200); Brigg, Jon (35111042500); Tillotson, Martin (6602871716); Parsons, Simon A. (8683346900); Cartmell, Elise (55944940600)","56219311900; 16052446700; 36025672800; 26642250200; 35111042500; 6602871716; 8683346900; 55944940600","Comparison between disintegrated and fermented sewage sludge for production of a carbon source suitable for biological nutrient removal","2010","Journal of Hazardous Materials","175","1-3","","733","739","6","90","10.1016/j.jhazmat.2009.10.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72049105347&doi=10.1016%2fj.jhazmat.2009.10.070&partnerID=40&md5=add27c56309dda78dddfcc9bde5db50e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-72049105347"
"Zhao X.; Liu J.; Yang H.; Duarte R.; Tillotson M.R.; Hubacek K.","Zhao, Xu (55705204100); Liu, Junguo (57200122300); Yang, Hong (57189931241); Duarte, Rosa (56212256800); Tillotson, Martin R (6602871716); Hubacek, Klaus (55802235200)","55705204100; 57200122300; 57189931241; 56212256800; 6602871716; 55802235200","Burden shifting of water quantity and quality stress from megacity Shanghai","2016","Water Resources Research","52","9","","6916","6927","11","101","10.1002/2016WR018595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987679578&doi=10.1002%2f2016WR018595&partnerID=40&md5=216c76b31827871bd52df0304e373db6","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84987679578"
"Tillotson M.; Guan D.; Zhao X.","Tillotson, Martin (6602871716); Guan, Dabo (15839411900); Zhao, Xu (55705204100)","6602871716; 15839411900; 55705204100","Virtual water","2019","Water Resources: An Integrated Approach","","","","405","425","20","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116821395&partnerID=40&md5=36e1f8690e1815c6a67eac5573742c3f","Book chapter","Final","","Scopus","2-s2.0-85116821395"
"Zhao X.; Tillotson M.R.; Liu Y.W.; Guo W.; Yang A.H.; Li Y.F.","Zhao, X. (55705204100); Tillotson, M.R. (6602871716); Liu, Y.W. (59105739900); Guo, W. (57226073378); Yang, A.H. (57202882546); Li, Y.F. (59646655500)","55705204100; 6602871716; 59105739900; 57226073378; 57202882546; 59646655500","Index decomposition analysis of urban crop water footprint","2017","Ecological Modelling","348","","","25","32","7","57","10.1016/j.ecolmodel.2017.01.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010190271&doi=10.1016%2fj.ecolmodel.2017.01.006&partnerID=40&md5=447f234cf8dd03e1f131bd75322b2a08","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85010190271"
"Stickland A.D.; Usher S.P.; De Kretser R.G.; Scales P.J.; Hillis P.; Tillotson M.R.","Stickland, Anthony D. (6507451152); Usher, Shane P. (7003292631); De Kretser, Ross G. (6603129046); Scales, Peter J. (7005496789); Hillis, Peter (6602701043); Tillotson, Martin R. (6602871716)","6507451152; 7003292631; 6603129046; 7005496789; 6602701043; 6602871716","Validation of numerical filtration modelling for industrially relevant materials","2005","American Filtration and Separations Society 2005 - 18th Annual Conference, AFS 2005","","","","","","18","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886039365&partnerID=40&md5=ba0862cd87372f481c91128cbb0a7f6f","Conference paper","Final","","Scopus","2-s2.0-84886039365"
"Liao X.; Zhao X.; Jiang Y.; Liu Y.; Yi Y.; Tillotson M.R.","Liao, Xiawei (57191619829); Zhao, Xu (55705204100); Jiang, Yu (57191853612); Liu, Yu (56383915700); Yi, Yujun (23502643300); Tillotson, Martin R. (6602871716)","57191619829; 55705204100; 57191853612; 56383915700; 23502643300; 6602871716","Water footprint of the energy sector in China's two megalopolises","2019","Ecological Modelling","391","","","9","15","6","22","10.1016/j.ecolmodel.2018.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056572582&doi=10.1016%2fj.ecolmodel.2018.10.009&partnerID=40&md5=19b7b9fc7d962234b9060cf2feb902dd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85056572582"
"Hou S.; Zhao X.; Liu Y.; Tillotson M.R.; Weng S.; Wang H.; Li Y.; Liu B.; Feng K.; Zhang N.","Hou, Siyu (57204200959); Zhao, Xu (55705204100); Liu, Yu (56383915700); Tillotson, Martin R. (6602871716); Weng, Shenglin (57201096180); Wang, Hua (55872230200); Li, Yiping (36063743000); Liu, Baoyin (55797248000); Feng, Kuishuang (35169268500); Zhang, Ning (57188694290)","57204200959; 55705204100; 56383915700; 6602871716; 57201096180; 55872230200; 36063743000; 55797248000; 35169268500; 57188694290","Spatial analysis connects excess water pollution discharge, industrial production, and consumption at the sectoral level","2022","npj Clean Water","5","1","4","","","","29","10.1038/s41545-022-00152-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125541849&doi=10.1038%2fs41545-022-00152-7&partnerID=40&md5=04b59139b2bacd2e304ba370c5f44a95","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125541849"
"Mdee A.; Ofori A.; Lopez-Gonzalez G.; Stringer L.; Martin-Ortega J.; Ahrari S.; Dougill A.; Evans B.; Holden J.; Kay P.; Kongo V.; Obani P.; Tillotson M.; Camargo-Valero M.A.","Mdee, Anna (26640577600); Ofori, Alesia (57215413817); Lopez-Gonzalez, Gabriela (16444470500); Stringer, Lindsay (14018839600); Martin-Ortega, Julia (26648830100); Ahrari, Sara (57351840200); Dougill, Andrew (6602607940); Evans, Barbara (57199313235); Holden, Joseph (23995734100); Kay, Paul (57207151596); Kongo, Victor (55879665100); Obani, Pedi (56582255300); Tillotson, Martin (6602871716); Camargo-Valero, Miller Alonso (16642000800)","26640577600; 57215413817; 16444470500; 14018839600; 26648830100; 57351840200; 6602607940; 57199313235; 23995734100; 57207151596; 55879665100; 56582255300; 6602871716; 16642000800","The top 100 global water questions: Results of a scoping exercise","2022","One Earth","5","5","","563","573","10","18","10.1016/j.oneear.2022.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134610869&doi=10.1016%2fj.oneear.2022.04.009&partnerID=40&md5=ab0ae07bf55a6103b25810b35a623cc9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134610869"
"Liao X.; Zhao X.; Liu W.; Li R.; Wang X.; Wang W.; Tillotson M.R.","Liao, Xiawei (57191619829); Zhao, Xu (55705204100); Liu, Wenfeng (56178241100); Li, Ruoshui (57216760907); Wang, Xiaoxi (55562070600); Wang, Wenpeng (56101854100); Tillotson, Martin R. (6602871716)","57191619829; 55705204100; 56178241100; 57216760907; 55562070600; 56101854100; 6602871716","Comparing water footprint and water scarcity footprint of energy demand in China's six megacities","2020","Applied Energy","269","","115137","","","","46","10.1016/j.apenergy.2020.115137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084553647&doi=10.1016%2fj.apenergy.2020.115137&partnerID=40&md5=8806a55ba7a3e3ce675bea1fce5c1faa","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85084553647"
