"Title","Funder","Start year"
"Investigating the co-evolution of Congo River channels and Peatlands","UK Research and Innovation (UKRI)","2024"
"How was a thousand kilometre cable-breaking submarine flow triggered by an exceptional Congo River flood?","UK Research and Innovation (UKRI)","2020"
"GCRF Water Security and Sustainable Development Hub---------","UK Research and Innovation (UKRI)","2019"
"Adapting Cities: Interoperable solutions for improved flood resilience","UK Research and Innovation (UKRI)","2019"
"Catchment Hydrology Explorer for Water Stewards (CatchExp Platform)","UK Research and Innovation (UKRI)","2017"
