"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Besharat M.; Coronado-Hernández O.E.; Fuertes-Miquel V.S.; Viseu M.T.; Ramos H.M.","Besharat, Mohsen (57205420202); Coronado-Hernández, Oscar E. (57193337460); Fuertes-Miquel, Vicente S. (6507312882); Viseu, Maria Teresa (36722745600); Ramos, Helena M. (35568240000)","57205420202; 57193337460; 6507312882; 36722745600; 35568240000","Backflow air and pressure analysis in emptying a pipeline containing an entrapped air pocket","2018","Urban Water Journal","15","8","","769","779","10","28","10.1080/1573062X.2018.1540711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057337138&doi=10.1080%2f1573062X.2018.1540711&partnerID=40&md5=b259a713ca12ff2b20a4640171c56e5c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85057337138"
"Coelho J.T.; Pérez-Sánchez M.; Coronado-Hernández O.E.; Besharat M.; Feng R.-L.; Tasca E.; Zhou L.; Ramos H.M.","Coelho, JoaoS.T. (59302664400); Pérez-Sánchez, Modesto (57189579872); Coronado-Hernández, Oscar E. (57193337460); Besharat, Mohsen (57205420202); Feng, Rui-Lin (58408079800); Tasca, Elias (57219556394); Zhou, Ling (55710690400); Ramos, Helena M. (35568240000)","59302664400; 57189579872; 57193337460; 57205420202; 58408079800; 57219556394; 55710690400; 35568240000","Hydropneumatic storage methodology towards a new era of hybrid energy system's efficiency and flexibility","2024","Results in Engineering","24","","103117","","","","0","10.1016/j.rineng.2024.103117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206237434&doi=10.1016%2fj.rineng.2024.103117&partnerID=40&md5=e07a3cc72e804aef37236aaf8fad0269","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206237434"
"Klipalo E.; Besharat M.; Kuriqi A.","Klipalo, Emmett (57876321300); Besharat, Mohsen (57205420202); Kuriqi, Alban (57039070300)","57876321300; 57205420202; 57039070300","Full-Scale Interface Friction Testing of Geotextile-Based Flood Defence Structures","2022","Buildings","12","7","990","","","","21","10.3390/buildings12070990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137338002&doi=10.3390%2fbuildings12070990&partnerID=40&md5=c3daad4e5e07110a7983a915297ab97a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137338002"
"Coronado-Hernández O.E.; Fuertes-Miquel V.S.; Besharat M.; Ramos H.M.","Coronado-Hernández, Oscar E. (57193337460); Fuertes-Miquel, Vicente S. (6507312882); Besharat, Mohsen (57205420202); Ramos, Helena M. (35568240000)","57193337460; 6507312882; 57205420202; 35568240000","Subatmospheric pressure in a water draining pipeline with an air pocket","2018","Urban Water Journal","15","4","","346","352","6","24","10.1080/1573062X.2018.1475578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048485972&doi=10.1080%2f1573062X.2018.1475578&partnerID=40&md5=38c76063ed42ca2a649d1dd7b7b7c19f","Article","Final","","Scopus","2-s2.0-85048485972"
"Besharat M.; Coronado-Hernández O.E.; Fuertes-Miquel V.S.; Ramos H.M.","Besharat, Mohsen (57205420202); Coronado-Hernández, Oscar E. (57193337460); Fuertes-Miquel, Vicente S. (6507312882); Ramos, Helena M. (35568240000)","57205420202; 57193337460; 6507312882; 35568240000","Elastic and rigid modelling in two-phase pressurised hydraulic systems","2023","14th International Conference on Pressure Surges","","","","161","174","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210883248&partnerID=40&md5=e44baed96fddb37eea4303347f5156f1","Conference paper","Final","","Scopus","2-s2.0-85210883248"
"Coronado-Hernández O.E.; Fuertes-Miquel V.S.; Besharat M.; Ramos H.M.","Coronado-Hernández, Oscar E. (57193337460); Fuertes-Miquel, Vicente S. (6507312882); Besharat, Mohsen (57205420202); Ramos, Helena M. (35568240000)","57193337460; 6507312882; 57205420202; 35568240000","Experimental and numerical analysis of a water emptying pipeline using different air valves","2017","Water (Switzerland)","9","2","98","","","","42","10.3390/w9020098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013031400&doi=10.3390%2fw9020098&partnerID=40&md5=c76ae6c3901c2952accd2f90e47f28ae","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85013031400"
"Besharat M.; Dadfar A.; Viseu M.T.; Brunone B.; Ramos H.M.","Besharat, Mohsen (57205420202); Dadfar, Avin (55566827300); Viseu, Maria Teresa (36722745600); Brunone, Bruno (6603067350); Ramos, Helena M. (35568240000)","57205420202; 55566827300; 36722745600; 6603067350; 35568240000","Transient-flow induced compressed air energy storage (TI-CAES) system towards new energy concept","2020","Water (Switzerland)","12","2","601","","","","10","10.3390/w12020601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081299102&doi=10.3390%2fw12020601&partnerID=40&md5=2dd8178b103044ef1374a7ef4d721719","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081299102"
"Tasca E.; Besharat M.; Ramos H.M.; Luvizotto E., Jr.; Karney B.","Tasca, Elias (57219556394); Besharat, Mohsen (57205420202); Ramos, Helena M. (35568240000); Luvizotto, Edevar (6505901432); Karney, Bryan (7004449407)","57219556394; 57205420202; 35568240000; 6505901432; 7004449407","Contribution of Air Management to the Energy Efficiency of Water Pipelines","2023","Sustainability (Switzerland)","15","5","3875","","","","6","10.3390/su15053875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149924481&doi=10.3390%2fsu15053875&partnerID=40&md5=058cab81c5c4f2f67b58d09653e5d9fe","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149924481"
"Besharat M.; Tarinejad R.; Aalami M.T.; Ramos H.M.","Besharat, Mohsen (57205420202); Tarinejad, Reza (36452349900); Aalami, Mohammad Taghi (23481098900); Ramos, Helena M. (35568240000)","57205420202; 36452349900; 23481098900; 35568240000","Study of a Compressed Air Vessel for Controlling the Pressure Surge in Water Networks: CFD and Experimental Analysis","2016","Water Resources Management","30","8","","2687","2702","15","38","10.1007/s11269-016-1310-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962784361&doi=10.1007%2fs11269-016-1310-1&partnerID=40&md5=8e424c0fec9fceda6ad56c7ace57c483","Article","Final","","Scopus","2-s2.0-84962784361"
"Tasca E.; Besharat M.; Ramos H.M.; Luvizotto E., Jr.; Karney B.","Tasca, Elias (57219556394); Besharat, Mohsen (57205420202); Ramos, Helena M. (35568240000); Luvizotto, Edevar (6505901432); Karney, Bryan (7004449407)","57219556394; 57205420202; 35568240000; 6505901432; 7004449407","Exploring the Sensitivity of the Transient Response following Power Failure to Air Valve and Pipeline Characteristics","2023","Water (Switzerland)","15","19","3476","","","","4","10.3390/w15193476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174069271&doi=10.3390%2fw15193476&partnerID=40&md5=889ce7ae4ebf17a0a92945356664de2d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174069271"
