"Title","Funder","Start year"
"Engineering and Physical Sciences Research Council award","UK Research and Innovation (UKRI)","2023"
"Doctoral Research Project","UK Research and Innovation (UKRI)","2022"
"Assessing Agroecology Benefits and Novel Chemical and AMR Risks in Adopting a Sanitation-Agriculture Circular Economy","UK Research and Innovation (UKRI)","2022"
"Water and Waste Infrastructure and Services Engineered for Resilience","UK Research and Innovation (UKRI)","2020"
"GCRF Water Security and Sustainable Development Hub---------","UK Research and Innovation (UKRI)","2019"
"EPSRC Centre for Doctoral Training in Water and Waste Infrastructure Systems Engineered for Resilience (Water-WISER)","UK Research and Innovation (UKRI)","2019"
"Sustainable water, sanitation and waste management","UK Research and Innovation (UKRI)","2019"
"HARVEST: High-mountain Asia - building Resilience to water Variability using Experiments, Surveys and accounts of Tradition.","UK Research and Innovation (UKRI)","2016"
"HyCRISTAL: Integrating Hydro-Climate Science into Policy Decisions for Climate-Resilient Infrastructure and Livelihoods in East Africa","UK Research and Innovation (UKRI)","2015"
