"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Saunders S.G.; Barrington D.J.; Sridharan S.; Meo S.; Hadwen W.; Shields K.F.; Souter R.; Bartram J.K.","Saunders, Stephen Graham (7202876344); Barrington, Dani J. (25922053200); Sridharan, Srinivas (25634591300); Meo, Semisi (15747710700); Hadwen, Wade (6507327364); Shields, Katherine F. (55226537800); Souter, Regina (57188627468); Bartram, Jamie K. (6603696131)","7202876344; 25922053200; 25634591300; 15747710700; 6507327364; 55226537800; 57188627468; 6603696131","Addressing WaSH challenges in Pacific Island Countries: A participatory marketing systems mapping approach to empower informal settlement community action","2016","Habitat International","55","","","159","166","7","14","10.1016/j.habitatint.2016.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961924654&doi=10.1016%2fj.habitatint.2016.03.010&partnerID=40&md5=0379517f2a07fe9a16c30bb200b8a141","Article","Final","","Scopus","2-s2.0-84961924654"
"Meier B.M.; Kayser G.L.; Amjad U.Q.; Bartram J.","Meier, Benjamin Mason (8296585300); Kayser, Georgia Lyn (55626770700); Amjad, Urooj Quezon (14833764300); Bartram, Jamie (6603696131)","8296585300; 55626770700; 14833764300; 6603696131","Implementing an evolving human right through water and sanitation policy","2013","Water Policy","15","1","","116","133","17","48","10.2166/wp.2012.198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875193255&doi=10.2166%2fwp.2012.198&partnerID=40&md5=6cca03c8dd97b7a56fd45f99de81dfbd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84875193255"
"Amjad U.Q.; Ojomo E.; Downs K.; Cronk R.; Bartram J.","Amjad, Urooj Q. (14833764300); Ojomo, Edema (35179879200); Downs, Kristen (58363696800); Cronk, Ryan (35766082400); Bartram, Jamie (6603696131)","14833764300; 35179879200; 58363696800; 35766082400; 6603696131","Rethinking Sustainability, Scaling Up, and Enabling Environment: A Framework for Their Implementation in Drinking Water Supply","2015","Water (Switzerland)","7","4","","1497","1514","17","26","10.3390/W7041497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962596807&doi=10.3390%2fW7041497&partnerID=40&md5=6393dec6f34745dae7aa916fcc6e82b3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84962596807"
"Setty K.E.; Kayser G.L.; Bowling M.; Enault J.; Loret J.-F.; Serra C.P.; Alonso J.M.; Mateu A.P.; Bartram J.","Setty, Karen E. (23101398100); Kayser, Georgia L. (55626770700); Bowling, Michael (57193551185); Enault, Jerome (56703371900); Loret, Jean-Francois (6507884720); Serra, Claudia Puigdomenech (57193550866); Alonso, Jordi Martin (57193546840); Mateu, Arnau Pla (57193546913); Bartram, Jamie (6603696131)","23101398100; 55626770700; 57193551185; 56703371900; 6507884720; 57193550866; 57193546840; 57193546913; 6603696131","Water quality, compliance, and health outcomes among utilities implementing Water Safety Plans in France and Spain","2017","International Journal of Hygiene and Environmental Health","220","3","","513","530","17","45","10.1016/j.ijheh.2017.02.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014750147&doi=10.1016%2fj.ijheh.2017.02.004&partnerID=40&md5=3ecd26484751ae6fcb5520ae37f0305f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85014750147"
"Bartram J.; Baum R.","Bartram, Jamie (6603696131); Baum, Rachel (55552135900)","6603696131; 55552135900","Introduction","2015","Routledge Handbook of Water and Health","","","","1","11","10","1","10.4324/9781315693606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960225724&doi=10.4324%2f9781315693606&partnerID=40&md5=a115717e614b9e25365b38ecc8e1e831","Editorial","Final","","Scopus","2-s2.0-84960225724"
"Chang Z.K.; Chong M.L.; Bartram J.","Chang, Zai Kang (55953832300); Chong, Mien Ling (35236103000); Bartram, Jamie (6603696131)","55953832300; 35236103000; 6603696131","Analysis of water safety plan costs from case studies in the western pacific region","2013","Water Science and Technology: Water Supply","13","5","","1358","1366","8","9","10.2166/ws.2013.146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889609305&doi=10.2166%2fws.2013.146&partnerID=40&md5=dab4cd6b544652b121f5f5a65a2813ef","Article","Final","","Scopus","2-s2.0-84889609305"
"Cowman G.; Otipo S.; Njeru I.; Achia T.; Thirumurthy H.; Bartram J.; Kioko J.","Cowman, Gretchen (57196148575); Otipo, Shikanga (57196146856); Njeru, Ian (55886456900); Achia, Thomas (24472654100); Thirumurthy, Harsha (24559254500); Bartram, Jamie (6603696131); Kioko, Jackson (54794202200)","57196148575; 57196146856; 55886456900; 24472654100; 24559254500; 6603696131; 54794202200","Factors associated with cholera in Kenya, 2008-2013","2017","Pan African Medical Journal","28","","101","","","","24","10.11604/pamj.2017.28.101.12806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032006241&doi=10.11604%2fpamj.2017.28.101.12806&partnerID=40&md5=1682cb2d20333fe06b076812d71a64cb","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85032006241"
"Peletz R.; Mahin T.; Elliott M.; Harris M.S.; Chan K.S.; Cohen M.S.; Bartram J.K.; Clasen T.F.","Peletz, Rachel (23767350400); Mahin, Thomas (55672717900); Elliott, Mark (57189616985); Harris, Mamie S. (55879491100); Chan, Ka Seen (55880135400); Cohen, Myron S. (54790532400); Bartram, Jamie K. (6603696131); Clasen, Thomas F. (6701896965)","23767350400; 55672717900; 57189616985; 55879491100; 55880135400; 54790532400; 6603696131; 6701896965","Water, sanitation, and hygiene interventions to improve health among people living with HIV/AIDS: A systematic review","2013","AIDS","27","16","","2593","2601","8","19","10.1097/QAD.0b013e3283633a5f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885396244&doi=10.1097%2fQAD.0b013e3283633a5f&partnerID=40&md5=18ff40a92a497cdad528fd8a253ba293","Review","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84885396244"
"Meier B.M.; Kayser G.L.; Kestenbaum J.G.; Amjad U.Q.; Dalcanale F.; Bartram J.","Meier, Benjamin Mason (8296585300); Kayser, Georgia Lyn (55626770700); Kestenbaum, Jocelyn Getgen (55975735100); Amjad, Urooj Quezon (14833764300); Dalcanale, Fernanda (36971126800); Bartram, Jamie (6603696131)","8296585300; 55626770700; 55975735100; 14833764300; 36971126800; 6603696131","Translating the Human Right to Water and Sanitation into Public Policy Reform","2014","Science and Engineering Ethics","20","4","","833","848","15","23","10.1007/s11948-013-9504-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911997025&doi=10.1007%2fs11948-013-9504-x&partnerID=40&md5=10fe6db956eeaa3f1064f8575f2b6933","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84911997025"
"Brown J.; Cumming O.; Bartram J.; Cairncross S.; Ensink J.; Holcomb D.; Knee J.; Kolsky P.; Liang K.; Liang S.; Nala R.; Norman G.; Rheingans R.; Stewart J.; Zavale O.; Zuin V.; Schmidt W.-P.","Brown, Joe (57205143695); Cumming, Oliver (35069122800); Bartram, Jamie (6603696131); Cairncross, Sandy (7005811380); Ensink, Jeroen (18834952700); Holcomb, David (56725237300); Knee, Jackie (56461162300); Kolsky, Peter (6603361938); Liang, Kaida (54898489900); Liang, Song (55506203600); Nala, Rassul (6504039082); Norman, Guy (36158564200); Rheingans, Richard (9436248300); Stewart, Jill (15021299100); Zavale, Olimpio (56725678700); Zuin, Valentina (54907825300); Schmidt, Wolf-Peter (55391830600)","57205143695; 35069122800; 6603696131; 7005811380; 18834952700; 56725237300; 56461162300; 6603361938; 54898489900; 55506203600; 6504039082; 36158564200; 9436248300; 15021299100; 56725678700; 54907825300; 55391830600","A controlled, before-and-after trial of an urban sanitation intervention to reduce enteric infections in children: Research protocol for the Maputo Sanitation (MapSan) study, Mozambique","2015","BMJ Open","5","6","e008215","","","","58","10.1136/bmjopen-2015-008215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937242906&doi=10.1136%2fbmjopen-2015-008215&partnerID=40&md5=a7425463850b6dfdbeb5029591868344","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84937242906"
