"Title","Funder","Start year"
"Improving business continuity for health services following extreme weather events","National Institute for Health and Care Research (NIHR)","2024"
"Delivering safely managed water supply and sanitation during rural-urban transition","UK Research and Innovation (UKRI)","2022"
"Scaling up Off-Grid Sanitation","UK Research and Innovation (UKRI)","2020"
"Climate change and the environmental determinants of violence and mental distress in fragile contexts: Ethiopia, Myanmar and Nepal","UK Research and Innovation (UKRI)","2020"
"Rurality as a vehicle for Urban Sanitation Transformation (RUST)","UK Research and Innovation (UKRI)","2018"
"Water-security in Ethiopia and the Emotional response of Pastoralists (WEEP)","UK Research and Innovation (UKRI)","2017"
