"Title","Funder","Start year"
"Farm2Lab Link Platform","UK Research and Innovation (UKRI)","2021"
"BEFWAM-BIOENERGY, FERTILISER AND CLEAN WATER FROM INVASIVE AQUATIC MACROPHYTES","UK Research and Innovation (UKRI)","2019"
"GCRF Water Security and Sustainable Development Hub---------","UK Research and Innovation (UKRI)","2019"
"Towards climate change sensitive WASH: Quantifying greenhouse gas emissions from septic tanks with a focus on Methane","UK Research and Innovation (UKRI)","2019"
"The role of Phosphorus in the Resilience and Sustainability of the UK food system","UK Research and Innovation (UKRI)","2018"
"NWaste2H2- H2 Production by Reforming Bio-methane with Nitrogen Rich Waste Streams","UK Research and Innovation (UKRI)","2017"
"Regulation of polyphosphate metabolism in Chlamydomonas and potential for exploitation as P phosphorus sink in nutrient recovery systems","UK Research and Innovation (UKRI)","2016"
"Complex Value Optimisation for Resource Recovery from Waste (C-VORR)","UK Research and Innovation (UKRI)","2014"
