"Title","Funder","Start year"
"iBIO - Insect Bioreactor for Industrial Insect Waste Valorisation","UK Research and Innovation (UKRI)","2022"
"EPSRC Centre for Doctoral Training in Water and Waste Infrastructure Systems Engineered for Resilience (Water-WISER)","UK Research and Innovation (UKRI)","2019"
"Development of 2D materials for water treatment","UK Research and Innovation (UKRI)","2018"
"Complex Value Optimisation for Resource Recovery from Waste (C-VORR)","UK Research and Innovation (UKRI)","2014"
"C-VORR: Complex-Value Optimisation for Resource Recovery","UK Research and Innovation (UKRI)","2013"
